1. Nombre: Elena, Correo: correo@ejemplo.com, Rol: Administrador
2. Nombre: Miguel, Correo: correo@ejemplo.com, Rol: Administrador
3. Nombre: Sofia, Correo: correo@ejemplo.com, Rol: Administrador
4. Nombre: Pedro, Correo: correo@ejemplo.com, Rol: Administrador
5. Nombre: Laura, Correo: correo@ejemplo.com, Rol: Administrador
6. Nombre: Luisa, Correo: correo@ejemplo.com, Rol: Administrador
7. Nombre: Anabel, Correo: correo@ejemplo.com, Rol: Administrador
8. Nombre: Carlos, Correo: correo@ejemplo.com, Rol: Administrador
9. Nombre: María, Correo: correo@ejemplo.com, Rol: Administrador
10. Nombre: Juanito, Correo: correo@ejemplo.com, Rol: Administrador
11. Nombre: Roberto, Correo: correo@ejemplo.com, Rol: Administrador
